10
5
0 0 7,3175746202E-001
0 1 9,5889002085E-001
0 2 4,5118191838E-001
0 3 8,6742037535E-001
0 4 1,8910585344E-001
1 0 2,2302158177E-001
1 1 4,4604316354E-001
1 2 6,7214798927E-001
1 3 3,1757450104E-001
1 4 2,6207605004E-001
2 0 9,5375126600E-001
2 1 7,2867423296E-001
2 2 4,3576568365E-001
2 3 5,5190134048E-001
2 4 7,1942448616E-002
3 0 2,0760534704E-001
3 1 6,9270300865E-001
3 2 2,6207605004E-001
3 3 1,3052415848E-001
3 4 1,0483042151E-001
4 0 2,1582733840E-002
4 1 6,4234328270E-001
4 2 4,9434739351E-001
4 3 8,2733815908E-001
4 4 1,6032887995E-001
5 0 6,0842752457E-001
5 1 6,3103801012E-001
5 2 8,0267214775E-001
5 3 3,9465570450E-001
5 4 7,6875644922E-001
6 0 3,5868448019E-001
6 1 8,9825284481E-001
6 2 4,0596094728E-001
6 3 6,0945528746E-001
6 4 3,5457348824E-001
7 0 9,6608430147E-002
7 1 4,3371018767E-001
7 2 6,7317575216E-001
7 3 8,0369991064E-001
7 4 1,4182938635E-001
8 0 2,4665981531E-001
8 1 2,4152107537E-001
8 2 1,4080163836E-001
8 3 1,4491264522E-001
8 4 9,5272356272E-001
9 0 3,1346350908E-001
9 1 2,5693729520E-001
9 2 8,5303187370E-002
9 3 4,8406988382E-001
9 4 1,3155190647E-001
